
2024/07/10 (18:49:42) | ===> btop++ v.1.3.2
2024/07/10 (18:49:42) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/08/03 (19:48:15) | ===> btop++ v.1.3.2
2024/08/03 (19:48:15) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/08/13 (19:33:49) | ===> btop++ v.1.3.2
2024/08/13 (19:33:49) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/08/13 (19:33:50) | ===> btop++ v.1.3.2
2024/08/13 (19:33:50) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/08/14 (14:26:32) | ===> btop++ v.1.3.2
2024/08/14 (14:26:32) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/08/14 (14:26:34) | ===> btop++ v.1.3.2
2024/08/14 (14:26:34) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/09/22 (18:31:28) | ===> btop++ v.1.4.0
2024/09/22 (18:31:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/22 (18:31:28) | ===> btop++ v.1.4.0
2024/09/22 (18:31:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/30 (14:23:36) | ===> btop++ v.1.4.0
2024/09/30 (14:23:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/30 (18:12:10) | ===> btop++ v.1.4.0
2024/09/30 (18:12:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (02:11:40) | ===> btop++ v.1.4.0
2024/10/01 (02:11:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/09 (14:35:53) | ===> btop++ v.1.4.0
2024/10/09 (14:35:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/23 (15:56:47) | ===> btop++ v.1.4.0
2024/10/23 (15:56:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/01 (18:35:08) | ===> btop++ v.1.4.0
2024/11/01 (18:35:08) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/05 (01:28:26) | ===> btop++ v.1.4.0
2024/11/05 (01:28:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/08 (18:15:43) | ===> btop++ v.1.4.0
2024/11/08 (18:15:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/08 (18:15:47) | ===> btop++ v.1.4.0
2024/11/08 (18:15:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/10 (15:15:36) | ===> btop++ v.1.4.0
2024/11/10 (15:15:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/12 (19:35:59) | ===> btop++ v.1.4.0
2024/11/12 (19:35:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/12 (23:49:21) | ===> btop++ v.1.4.0
2024/11/12 (23:49:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/02 (21:50:20) | ===> btop++ v.1.4.0
2024/12/02 (21:50:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/03 (23:00:36) | ===> btop++ v.1.4.0
2024/12/03 (23:00:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/07 (13:27:32) | ===> btop++ v.1.4.0
2024/12/07 (13:27:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/07 (16:13:49) | ===> btop++ v.1.4.0
2024/12/07 (16:13:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/09 (01:15:25) | ===> btop++ v.1.4.0
2024/12/09 (01:15:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/09 (01:15:29) | ===> btop++ v.1.4.0
2024/12/09 (01:15:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/09 (01:26:57) | ===> btop++ v.1.4.0
2024/12/09 (01:26:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/13 (21:42:47) | ===> btop++ v.1.4.0
2024/12/13 (21:42:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/14 (18:29:20) | ===> btop++ v.1.4.0
2024/12/14 (18:29:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/14 (18:32:11) | ===> btop++ v.1.4.0
2024/12/14 (18:32:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/14 (20:16:25) | ===> btop++ v.1.4.0
2024/12/14 (20:16:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/18 (00:18:10) | ===> btop++ v.1.4.0
2024/12/18 (00:18:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/20 (16:19:53) | ===> btop++ v.1.4.0
2024/12/20 (16:19:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/27 (02:13:20) | ===> btop++ v.1.4.0
2024/12/27 (02:13:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/31 (16:13:11) | ===> btop++ v.1.4.0
2024/12/31 (16:13:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/31 (16:16:42) | ===> btop++ v.1.4.0
2024/12/31 (16:16:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/01 (02:53:05) | ===> btop++ v.1.4.0
2025/01/01 (02:53:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/02 (01:47:16) | ===> btop++ v.1.4.0
2025/01/02 (01:47:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/03 (00:41:39) | ===> btop++ v.1.4.0
2025/01/03 (00:41:39) | WARNING: Intel GPU: Failed to initialize PMU
